Name on IMDb,Birth Name 
Thomas F. Wilson,Thomas Francis Wilson Jr.
Claudia Wells,Claudia Grace Wells
Marc McClure, Not Found
Wendie Jo Sperber, Not Found
George DiCenzo,George Ralph DiCenzo
Frances Lee McCain, Not Found
James Tolkan,James Stewart Tolkan
Harry Waters Jr.,Harry Tunney Waters Jr.
Ludger Pistor, Not Found
John McTiernan,John Campbell McTiernan Jr.
Joel Silver, Not Found
Jim Thomas, Not Found
Lawrence Gordon, Not Found
John Thomas, Not Found
Donald McAlpine,Donald Milton McAlpine
John Vallone, Not Found
Jackie Burch, Not Found
Mark Helfrich, Not Found
John F. Link, Not Found
Carl Weathers, Not Found
Elpidia Carrillo, Not Found
Bill Duke,William Henry Duke Jr.
Jesse Ventura,James George Janos
Sonny Landham,William Landham
Richard Chaves,Richard John Chaves
R.G. Armstrong,Robert Golden Armstrong Jr.
Shane Black, Not Found
Kevin Peter Hall, Not Found
Lucinda Syson, Not Found
Stephen Graham,Stephen Graham Kelly
Alan Ford, Not Found
Dennis Farina, Not Found
Rade Serbedzija, Not Found
Benicio Del Toro,Benicio Monserrate Rafael Del Toro Sanchez
Mike Reid,Michael Reid
Ewen Bremner, Not Found
Slawomir Idziak, Not Found
Juliette Binoche, Not Found
Brian De Palma,Brian Russell De Palma
Martin Bregman,Martin Leon Bregman
Oliver Stone,William Oliver Stone
John A. Alonzo, Not Found
Giorgio Moroder,Hansjörg Moroder
Ferdinando Scarfiotti, Not Found
Alixe Gordin,Alice Glas
David Ray, Not Found
Steven Bauer,Esteban Ernesto Echevarria
Michelle Pfeiffer,Michelle Marie Pfeiffer
Mary Elizabeth Mastrantonio, Not Found
Robert Loggia,Salvatore Loggia
Miriam Colon,Miriam Colon Valle
Paul Shenar,Albert Paul Shenar
Harris Yulin, Not Found
Ángel Salazar, Not Found
Arnaldo Santana, Not Found
Pepe Serna, Not Found
Michael P. Moran, Not Found
Al Israel,Al J. Israel Jr.
Dennis Holahan, Not Found
Mark Margolis, Not Found
Garry Marshall,Garry Kent Maschiarelli
Steven Reuther,Steven Daniel Reuther
Julia Roberts,Julia Fiona Roberts
Jason Alexander,Jason Scott Greenspan
Ralph Bellamy,Ralph Rexford Bellamy
Elinor Donahue,Mary Eleanor Donahue
Hector Elizondo, Not Found
Larry Miller, Not Found
Laura San Giacomo,Laura A. San Giacomo
James Newton Howard, Not Found
Charles Minsky, Not Found
Raja Gosnell,Raja Raymond Gosnell
Priscilla Nedd-Friendly, Not Found
Amy Yasbeck,Amy Marie Yasbeck
Judith Baldwin,Judith Lee Baldwin
Dianne Crittenden, Not Found
Albert Brenner, Not Found
Joel Coen,Joel Daniel Coen
Ethan Coen,Ethan Jesse Coen
Carter Burwell,Carter Benedict Burwell
Rick Heinrichs, Not Found
John S. Lyons, Not Found
Tricia Cooke, Not Found
Jeff Bridges,Jeffrey Leon Bridges
John Goodman,John Stephen Goodman
Julianne Moore,Julie Anne Smith
David Huddleston,David William Huddleston
Philip Seymour Hoffman, Not Found
Tara Reid,Tara Donna Reid
Philip Moon, Not Found
Mark Pellegrino,Mark Ross Pellegrino
Flea,Michael Peter Balzary
Torsten Voges, Not Found
Jimmie Dale Gilmore, Not Found
Jack Kehler, Not Found
John Turturro,John Michael Turturro
James G. Hoosier, Not Found
Woody Allen,Allan Stewart Konigsberg
Scarlett Johansson,Scarlett Ingrid Johansson
Brian Cox,Brian Denis Cox
Penelope Wilton,Penelope Alice Wilton
Remi Adefarasin, Not Found
Art Linson,Art L. Linson
David Mamet,David Alan Mamet
Stephen H. Burum,Stephen Henry Burum
Ennio Morricone, Not Found
William A. Elliott, Not Found
Hal Gausman, Not Found
Mali Finn,Mary Alice Mann
Lynn Stalmaster,Lynn Arlen Stalmaster
Bill Pankow, Not Found
Kevin Costner,Kevin Michael Costner
Charles Martin Smith, Not Found
Andy Garcia,Andrés Arturo García Menéndez
Richard Bradford,Richard Edwin Bradford Jr.
Jack Kehoe, Not Found
Brad Sullivan,Bradford Edward Sullivan
Patricia Clarkson,Patricia Davies Clarkson
Vito D'Ambrosio, Not Found
Peter Aylward, Not Found
Don Harvey,Donald Patrick Harvey II
David Kelly,David Blake Kelly
Helena Bonham Carter, Not Found
James Fox,William Fox
Missi Pyle,Andrea Kay Pyle
Deep Roy,Mohinder Purba
Bruce Berman, Not Found
Richard D. Zanuck,Richard Darryl Zanuck
Brad Grey,Bradley Alan Grey
Roald Dahl, Not Found
Philippe Rousselot, Not Found
Susie Figgis,Susan Figgis
Alex McDowell, Not Found
Gabriella Pescucci, Not Found
Bill Abbott, Not Found
Bob Weinstein,Robert Weinstein
Mark Ordesky,Mark Lowell Ordesky
Saul Zaentz, Not Found
Michael Lynne, Not Found
Andrew Lesnie, Not Found
Grant Major, Not Found
John Gilbert, Not Found
Joe Bleakley, Not Found
Philip Ivey, Not Found
Rob Outterside, Not Found
Mark Robins, Not Found
Alan Lee, Not Found
John Howe, Not Found
Ngila Dickson, Not Found
Richard Taylor, Not Found
Victoria Burrows, Not Found
John Hubbard, Not Found
Liz Mullane, Not Found
Ian McKellen,Ian Murray McKellen
Sean Astin,Sean Patrick Duke
Billy Boyd,William Boyd
Dominic Monaghan,Dominic Bernard Patrick Luke Monaghan
Hugo Weaving,Hugo Wallace Weaving
Craig Parker, Not Found
Andy Serkis,Andrew Clement G. Serkis
Jet Li,Li Lian Jie
Maggie Cheung, Not Found
Irène Jacob,Irene Marie Jacob
Jean-Louis Trintignant, Not Found
Lawrence Makoare, Not Found
Sala Baker, Not Found
