Name on IMDb,Birth Name 
Irene Dunne,Irene Marie Dunn
Alexander D'Arcy,Alexander Sarruf
Cecil Cunningham,Edna Cecil Cunningham
Doris Davenport,Doris Davenport
Fred Stone,Fred Andrew Stone
Bill Terezakis, Not Found
Aaron Douglas, Not Found
Tahmoh Penikett, Not Found
Theresa Merritt, Not Found
Murray Moston, Not Found
Deborah Van Valkenburgh, Not Found
Paul Anka,Paul Albert Anka
Nico Soultanakis, Not Found
Jesse V. Johnson, Not Found
Max Adrian,Max Bor
Paul McDowell,Paul William McDowell
Aaron Schwartz, Not Found
Oleg Taktarov,Oleg Nikolaevich Taktarov
Jamie Anne Allman,Jamie Anne Brown
Jirí Krytinár, Not Found
Ken Sansom,Frank Kenneth Sansom
Luana Anders,Luana Margo Anderson
Don Charles McGovern,Don 'Charles' McGovern
Frank Hoyt Taylor, Not Found
Brady Bluhm,Brady William Bluhm
Paul Winchell,Paul Wilchinsky
Ernestine Mercer, Not Found
Paul Allen, Not Found
Lee Blair,Lee Everett Blair
Mary Blair,Mary Robinson
James Bodrero, Not Found
John P. Miller,John Parr Miller
Herbert Ryman, Not Found
Jack Cutting, Not Found
José Oliveira,José do Patrocínio Oliveira
Josh Becker,Joshua Matthew Becker
Antony Sher, Not Found
Paul Brickhill,Paul Chester Jerome Brickhill
Guy Gibson,Guy Penrose Gibson
Anne Grey,Aileen Stephen Ewing
Garry Marsh,Leslie March Geraghty
Rosemary Clooney,Rose Mary Clooney
Vera-Ellen,Vera Ellen Westmeier Rohe
Heinz Hopf, Not Found
Bo Arne Vibenius, Not Found
Ralph Lundsten, Not Found
Elaine Kusmishko, Not Found
Katherine Waterston,Katherine Boyer Waterston
Glenn Howerton,Glenn Franklin Howerton III
Sachi Parker,Stephanie Sachiko Parker
Josh Dallas,Joshua Paul Dallas
Peggy Wood, Not Found
Brenda James,Brenda Lynn Klemme
Howie Mandel,Howie Michael Mandel II
Tôru Noguchi, Not Found
John Paesano, Not Found
Yuki Matsuzaki, Not Found
Roger Cudney, Not Found
Colin Brady, Not Found
Allan Corduner, Not Found
Lloyd Kaufman,Stanley Lloyd Kaufman Jr.
Ashley Benson,Ashley Victoria Benson
Matt Rippy,Matthew Damon Rippy
Elyes Gabel, Not Found
Ella Raines,Ella Wallace Raines
Oliver Hardy,Oliver Norvell Hardy
Aml Ameen, Not Found
Wayne Allwine,Wayne Anthony Allwine
Irving L. Leonard, Not Found
Harold Loeb, Not Found
Hal Buckley, Not Found
Jeff Morris,Morris Berger
Dick Balduzzi,Richard Kenneth Balduzzi
Gene Collins, Not Found
Len Lesser,Leonard King Lesser
Fred Pearlman, Not Found
George Fargo, Not Found
Dee Pollock, Not Found
George Savalas,George Demosthenes Savalas
John G. Heller,John George Heller
Shepherd Sanders,Sherwin Seltzer
Karl-Otto Alberty, Not Found
Josh Coxx, Not Found
Lester Cole, Not Found
May Britt,Maybritt Wilkens
Albert Lamorisse, Not Found
Pascal Lamorisse, Not Found
William Farnum, Not Found
Barbara Britton,Barbara Maureen Brantingham
Mark Caso,Mark Edward Caso
Jimmy Kimmel,James Christian Kimmel
Robert Arthur,Robert Paul Arthaud
John Kellogg,Giles Vernon Kellogg Jr.
Robert Patten, Not Found
Lee MacGregor,Leo Robert Weismantel
Roger Anderson, Not Found
Paul Picerni,Horace Paul Picerni
Steve Valentine,Steven John Valentine
Bob Bergen, Not Found
Bryan Callen,Bryan Christopher Callen
Akira Toriyama, Not Found
Jamie Chung,Jamie Ji-Lynn Chung
Nick Vallelonga,Nicholas Anthony Vallelonga
Naoya Fujimaki, Not Found
Ryoichi Fukuyama, Not Found
Mika Yamaguchi, Not Found
Katsuya Kondô, Not Found
George Tokoro,Takayuki Haga
Tomoko Yamaguchi, Not Found
Yûki Amami,Yuri Nakano
Kazushige Nagashima, Not Found
Shin'ichi Hatori, Not Found
Tokie Hidari, Not Found
Eimi Hiraoka, Not Found
Tomoko Naraoka, Not Found
Seiichirô Ujiie, Not Found
Hirokata Takahashi, Not Found
Nozomu Takahashi, Not Found
Naoya Tanaka, Not Found
Edward Faulkner, Not Found
Alfred Barker Jr., Not Found
Nicolas Beauvy, Not Found
Steve Benedict, Not Found
Norman Howell, Not Found
Stephen R. Hudis, Not Found
Sean Kelly,Sean Michael Kelly
Clay O'Brien, Not Found
Sam O'Brien, Not Found
Stuart Fratkin, Not Found
Omar Sy, Not Found
Gina Carano,Gina Joy Carano
Beau Billingslea,John Daniel Billingslea Jr.
Ric Walkington, Not Found
Ken Utsui, Not Found
Tony Perez,Jose Anthony Perez
Jean De Baer, Not Found
Susanna Javicoli,Susanna Iavicoli
Jordan Roberts, Not Found
David L. Lander,David Leonard Landau
Julie Payne,Julie Kathleen Payne
Jeremy Slate,Robert Bullard Perham
Woody Watson,Raymond Elwood Watson II
Nathan Lane,Joseph Lane
Donald Gray,Eldred Ordemann Tidbury
Horace McMahon, Not Found
Milton Frome, Not Found
Alex Gerry,Alexander Gerry
Margaret Wycherly,Margaret Lovett De Wolfe
Steve Cochran,Robert Alexander Cochran
John Archer,Ralph Bowman
Wally Cassell,Oswaldo Castellano
Virginia Kellogg, Not Found
Enrique Almeida, Not Found
Tom Kenny,Thomas James Kenny
Arthur Byron,Arthur William Byron
James Dietrich,Claire Lilburn Dietrich
Charles J. Stumar, Not Found
Virginia Pearson,Virginia Belle Pearson
Arthur Lubin,Arthur William Lubovsky
Hans Jacoby, Not Found
Susanna Foster,Suzanne DeLee Flanders Larson
Edgar Barrier, Not Found
Leo Carrillo, Not Found
Carolyn Craig,Adele Ruth Crago
Richard Long,Richard McCord Long
Carol Ohmart,Armelia Carol Ohmart
Alan Marshal, Not Found
Julie Mitchum,Annette Marie Mitchum
Leona Anderson,Leona Aronson
Howard Hoffman,Howard Ralph Hoffman
Lori Nelson,Dixie Kay Nelson
Jing Wu,Wu Jing
Qing Xu, Not Found
Jim R. Coleman, Not Found
Keith Jardine,Keith Hector Jardine
Fritz Ford,Fred Apking
Kurt Kreuger, Not Found
Frank Albertson,Francis Healey Albertson
Betsy Blair,Elizabeth Winifred Boger
Esther Minciotti,Esther Cunico
Augusta Ciolli, Not Found
Joe Mantell,Joseph Mantel
Michael Goodliffe,Lawrence Michael Andrew Goodliffe
Angus Lennie,Angus Wilson Lennie
Scot Finch, Not Found
Barbara Archer,Barbara Janet Archer
F.X. Vitolo,Francis Xavier Vitolo
Martha Gehman, Not Found
Mona Lee Fultz, Not Found
Scott McAfee, Not Found
Gina Gallego,Georgina Marie Gallego
Gwen Holloway, Not Found
Jamie McShane, Not Found
Tony Llewellyn-Jones, Not Found
Nial Fulton, Not Found
Karen David,Karen Shenaz David
Dylan Neal,Dylan J. Neal
Dean Marshall,Dean Stewart Marshall
Wesley Coller, Not Found
Deborah Snyder,Deborah Johnson
Veronica Lake,Constance Frances Marie Ockelman
William Bendix, Not Found
Howard Da Silva,Howard Silverblatt
Doris Dowling,Doris Rita Smith
Elaine O'Donnell, Not Found
Lahly Poore, Not Found
Dustin Harris, Not Found
Herk Harvey,Harold Arnold Harvey
John Clifford,John William Clifford
Gene Moore, Not Found
Maurice Prather,Maurice William Prather
Frances Feist, Not Found
Sidney Berger, Not Found
Art Ellison,Arthur Wayland Ellison
Stan Levitt, Not Found
Tom McGinnis, Not Found
Forbes Caldwell,William Forbes Caldwell
Dan Palmquist, Not Found
Bill de Jarnette,William de Jarnette
Steve Boozer, Not Found
Pamela Ballard, Not Found
Larry Sneegas, Not Found
Cari Conboy, Not Found
Karen Pyles, Not Found
T.C. Adams, Not Found
Sharon Scoville, Not Found
Mary Ann Harris, Not Found
Peter Schnitzler, Not Found
Bill Sollner,William Sollner
Reza Badiyi,Reza Sayed Badiyi
Ed Down, Not Found
Wayne Schmille, Not Found
Avis Bunnage, Not Found
Joe Robinson,Joseph William Robinson Harle
Dervis Ward, Not Found
Edwin Hodgeman, Not Found
Claire Oberman, Not Found
Karen Glave, Not Found
Leslie Schofield, Not Found
Richard Strange, Not Found
Ann Carli, Not Found
Louis de Ernsted, Not Found
Julian Holloway, Not Found
Irene Handl, Not Found
James Jeter, Not Found
Joshua Clarke, Not Found
Barton Heyman, Not Found
Mariclare Costello, Not Found
Morgan Brittany,Suzanne Cupito
Chris Gibbin, Not Found
Tom Townsend, Not Found
David de Keyser,Rafael David de Keyser
Ian Liston,Ian Stuart Liston
Raymond Johnson, Not Found
Sylvester McCoy,Percy James Patrick Kent-Smith
Michael Yama, Not Found
Rutanya Alda,Rutanya Skrastina
Diane Franklin, Not Found
Erika Katz, Not Found
John Ring, Not Found
Alice Playten,Alice Plotkin
Danny Corkill,Daniel Bryan Corkill
Richard Deacon, Not Found
Ned Brower,Ned Andrew Brower
Doris Nolan, Not Found
Henry Kolker,Joseph Henry Kolker
Binnie Barnes,Gittel Enoyce Barnes (later called Gertrude Maude Barnes)
Jean Dixon,Marie Mercedes Jacques
Margaret Leighton, Not Found
Chick Hearn,Francis Dayle Hearn
René Laloux, Not Found
Jeffrey Thorp, Not Found
Denny Arnold, Not Found
Balinder Johal, Not Found
Nicholas McGaughey, Not Found
Philip Elton, Not Found
Christopher Buchanan,Christopher Buchanan
Yan Feldman, Not Found
Rafael Feldman, Not Found
Hunter Ansley Wryn, Not Found
Logan O'Brien,Logan Craig O'Brien
Erik Erotas, Not Found
Demetra Raven, Not Found
Jessica Huang, Not Found
Marley McClean,Marley Sarah Lynn McClean
Scott Kinworthy, Not Found
Erik Weiner, Not Found
Conor O'Brien, Not Found
Peter James Smith, Not Found
Weston Nathanson, Not Found
Carrie 'CeCe' Cline,Carrie F. Peroutka
Chuck O'Neil, Not Found
Amy Wieczorek, Not Found
Tristan Jarred,John Edward Gathright III
Elaine Mani Lee, Not Found
Brian O'Hare, Not Found
Ryan Tasz,Ryan Christopher Taszreak
Terrell Tilford,Terrell Dusean Tilford
Joshua Michael Kwiat, Not Found
Antonio Rufino, Not Found
Mark Winn, Not Found
William Archibald,John William Wharton Archibald
Clytie Jessop,Clytie Lloyd-Jones
Isla Cameron, Not Found
Eric Woodburn,Eric Melville Reis
Dorothy Macardle, Not Found
Cornelia Otis Skinner, Not Found
Dorothy Stickney,Dorothy Hayes Stickney
Gail Russell,Betty Gale Russell
Keith Marsh, Not Found
Stefan Kapicic, Not Found
Branislav Brana Srdic, Not Found
David Walliams,David Edward Williams
Harold Goodwin, Not Found
Sidney Bracey,Sidney Alfred Dunn
Harry Gribbon,Harry Peter Gribbon
Freddie Bartholomew,Frederick Cecil Bartholomew
Jesse Hibbs,Jesse John Hibbs
Oscar O'Shea, Not Found
Walter Lang, Not Found
Terry Saunders, Not Found
Rex Thompson, Not Found
Patrick Adiarte, Not Found
Rob Huebel, Not Found
Penny Santon,Pierina Burlando
Audrey Dalton, Not Found
Richard L. Breen, Not Found
Juanita Jennings, Not Found
Maria Howell, Not Found
Steve Coulter, Not Found
Hurd Hatfield,William Rukard Hurd Hatfield
Lowell Gilmore, Not Found
George Burns,Nathan Birnbaum
Carol Arthur,Carol Arata
Mary Jo Catlett, Not Found
Glenn Tryon,Glenn Monroe Kunkel
Vivien Oakland,Vivian Anderson
Tyler Brooke,Victor Hugo de Biere
Martha Sleeper, Not Found
Evan Spiliotopoulos, Not Found
Jordan Nagai, Not Found
Gérard Herter, Not Found
Laird Cregar,Samuel Laird Cregar
Frank Tuttle, Not Found
W.R. Burnett,William Riley Burnett
Martin Mull,Martin Eugene Mull
Lee Ving,Lee Capellaro
Bill Henderson,William Randall Henderson
Hirotsugu Kawasaki, Not Found
Mike Tyson,Michael Gerard Tyson
Mike Upton, Not Found
Linda Thompson, Not Found
Jay Nierenberg, Not Found
Stuart Provine, Not Found
Shelley Roden, Not Found
Tom Mason,Thomas Raymond Mason
Genelle Williams, Not Found
Virginia Capers,Eliza Virginia Capers
Ann Sheridan,Clara Lou Sheridan
Joyce Grenfell,Joyce Irene Phipps
Christopher Rhodes,Christopher George Rhodes
Gale Page,Sally Perkins Rutter
Richard Macaulay, Not Found
Roger Lloyd Pack, Not Found
Peter Pacey, Not Found
Max Burkholder,Maxwell Henry Wolf Burkholder
Denis Ménochet, Not Found
Chris Martin,Christopher Anthony John Martin
Archie Mayo,Archibald L. Mayo
Charles Kenyon, Not Found
Genevieve Tobin, Not Found
Dick Foran,John Nicholas Foran
Charlie Adler,Charles Michael Adler
Frank Lovejoy, Not Found
Carl Benton Reid, Not Found
Martha Stewart,Martha Ruth Stewart Haworth
Morris Ankrum,Morris Winslow Ankrum
William Ching,William Brooks Ching
Dorothy B. Hughes, Not Found
Jess Barker, Not Found
Rosalind Ivan, Not Found
Lars Ekborg, Not Found
Philip Latham,Charles Philip Latham
Frances Gifford,Mary Frances Gifford
Margaret Hayes,Florette Regina Ottenheimer
Eddie Marr, Not Found
Stuart Heisler,Stuart Raymond Heisler
Jonathan Latimer, Not Found
Edmund Breon,Iver Edmund De Breon MacLaverty
Thomas E. Jackson, Not Found
Dorothy Peterson,Bergetta Peterson
J.H. Wallis, Not Found
Shane West,Shannon Bruce Snaith
Olivia Munn,Lisa Olivia Munn
Michelle Ruff,Michelle Suzanne Ruff
Michael McConnohie,Michael D. McConnohie
Kirk Thornton, Not Found
Eli Benneche, Not Found
Myrl Stoltz,Myrle Leroy Stoltz
Henry Weinberger, Not Found
Anthony Newley,George Anthony Newley
Bobby Bell, Not Found
Arturo Gil, Not Found
Susan Rossitto,Susan Theresa Wallingford
Rudy Ramos, Not Found
Robert Helpmann,Robert Murray Helpman
Darryl Hickman,Darryl Gerard Hickman
Edward G. Robinson Jr., Not Found
Gregg Wilson, Not Found
Warren Clymer, Not Found
Frank Simpson, Not Found
Sanford Rackow, Not Found
Abe Seidman, Not Found
Muky, Not Found
George Newman, Not Found
Marilyn Putnam, Not Found
Wayne Fitzgerald,Wayne Richard Fitzgerald
MacIntyre Dixon,Fred Macintyre Dixon
Frank Grillo,Frank Anthony Grillo
Rick Avery, Not Found
Stephen Bridgewater, Not Found
Satoshi Urushihara, Not Found
Paul Sonski, Not Found
Walter McGinn,Walter Vincent McGinn Jr.
Kelly Thordsen, Not Found
Valerie Taylor,Valerie Ferenze Taylor
Jean Parker,Luise-Stephanie Zelinska
André De Toth,Sasvári Farkasfalvi Tóthfalusi Tóth Endre Antal Mihály
William Sellers,William Frederick Sellers
Lisa Kelly,Lisa Ann Kelly
Benjamin Feitelson, Not Found
Anjalika Mathur Nigam, Not Found
Brian Cummings, Not Found
Jennifer Darling, Not Found
Shigeyasu Yamauchi, Not Found
Tomomichi Nishimura, Not Found
Mark Hadlow, Not Found
Brian Sergent,Brian Clifford Sergent-Shadbolt
Jo de Winter,Juanita Marie Daussat
Alfred L. Werker,Alfred Louis Werker
William Absalom Drake, Not Found
Terry Kilburn,Terence E. Kilburn
Henry Stephenson,Henry Stephenson Garroway
Peter Willes, Not Found
Mary Forbes,Ethel Louise Young
Frank Dawson, Not Found
Anthony Kemble-Cooper, Not Found
Alejandro Patiño, Not Found
John Garfield,Jacob Julius Garfinkle
Canada Lee,Leonard Lionel Cornelius Canegata
Peter Virgo,Peter Virga
Joe Devlin,Joseph Mathews
Shimen Ruskin, Not Found
Abraham Polonsky,Abraham Lincoln Polonsky
Daniel Henney,Daniel Phillip Henney
Ray Panthaki, Not Found
Dan Dailey,Daniel James Dailey
Lucinda Dryzek, Not Found
Geoffrey Haley, Not Found
Jeanne Crain,Jeanne Elizabeth Crain
John M. Stahl,Jacob Morris Strelitzsky
Jo Swerling,Joseph Swerling
Ben Ames Williams, Not Found
Judson Pratt, Not Found
Sharlto Copley, Not Found
Ken Kamins, Not Found
Robert Taylor,Spangler Arlington Brugh
Luis Valdez,Luis Miguel Valdez
Lindsey Buckingham,Lindsey Adams Buckingham
Louis Armstrong,Louis Daniel Armstrong
Jean Harlow,Harlean Harlow Carpenter
Edward Woods, Not Found
Romy Windsor, Not Found
Paul Kelly,Paul Michael Kelly
Julie Bishop,Jacqueline Brown
James Stephenson, Not Found
Frieda Inescort,Frieda Wrightman
Bruce Lester,Bruce Somerset Lister
Victor Sen Yung,Victor Cheung Young
Bob Hope,Leslie Townes Hope
Norman Z. McLeod,Norman Zenos McLeod
Jane Powell,Suzanne Lorraine Burce
Kathryn Grayson,Zelma Kathryn Elisabeth Hedrick
Benny Goodman,Benjamin David Goodman
Edna May Oliver,Edna May Nutter
Jack Conway,Hugh Ryan Conway
John Wexley, Not Found
Kôji Nanbara,Uwaji Itsui
Lester Matthews,Arthur Lester Matthews
Irene Ware,Irene Ahlberg
Maidel Turner, Not Found
Lew Landers,Louis Friedlander
David Boehm, Not Found
Rachel Roberts, Not Found
Gordon Hessler, Not Found
Dick Durock,Richard Durock
Michael Dugan, Not Found
Edward Burnham,Edward Charles Burnham
Peter Gilmore,John Peter Gilmore
Peter Jeffrey, Not Found
Norman Jones, Not Found
Alan Zipson, Not Found
Dallas Adams, Not Found
James Grout,James David Grout
Alister Williamson, Not Found
Barbara Keogh,Barbara Winifred Keogh
Charles Farrell, Not Found
Samuel W. Taylor,Samuel Woolley Taylor
Robert Noble,Robert James Noble
Nick Carter,Nickolas Gene Carter
Juano Hernandez,Huano G. Hernandez
Marian Carr, Not Found
Maxine Cooper,Gladys Maxine Cooper
Mickey Spillane,Frank Morrison Spillane
Luke de Woolfson, Not Found
Norman Warwick, Not Found
Shepperd Strudwick,Shepperd Strudwick Jr.
Lynne Roberts,Theda Mae Roberts
Harry Lachman, Not Found
John Zaremba, Not Found
Thomas Browne Henry, Not Found
Grandon Rhodes,Grandon Neviers Augustine Rolker
Larry J. Blake, Not Found
Conor Donovan, Not Found
Vito Scotti,Vito Giusto Scozzari
Charles Irving,Charles Irving Zipperman
Annabella,Suzanne Georgette Charpentier
Valerie Tian, Not Found
Bruno Moynot, Not Found
Martin Lamotte, Not Found
Lucy Gallardo,Lucia Elida Cardarelli
Norman Taurog,Norman Rae Taurog
Jack Moffitt, Not Found
Corinna Mura,Corynne Constance Wall
Ray Burdis,Raymond John Burdis
David Molina, Not Found
Terry Shakespeare, Not Found
Jim Kelly,James Milton Kelly
Rhys Williams, Not Found
Herbert Heyes, Not Found
Robert Karnes,Robert Anthony Karnes
Horace McCoy, Not Found
James Craig,James Henry Meador
Edwin Max,Edwin Miller
Sydney Boehm, Not Found
John Dehner,John Dehner Forkum
Yoshiko Kuga, Not Found
Jessica Chastain,Jessica Michelle Chastain
Kay Hawtrey,Katharine Mary Craven Hawtrey
Shawn Campbell, Not Found
Jan-Michael Vincent, Not Found
Hope Alexander-Willis,Hope Alexander
Marvin Braverman, Not Found
Frances Mathias, Not Found
Bob Mills, Not Found
Carol A. O'Connell, Not Found
Dione Taylor, Not Found
Jamie Marshall, Not Found
John R. Elliott, Not Found
Joseph F. Brennan, Not Found
Albert Gasser, Not Found
Richard Kite, Not Found
Kimberly Ellen Lowe, Not Found
Dean A. Zupancic, Not Found
Gary Zink, Not Found
Jimmy N. Roberts,James Nelson Roberts III
Jill Whitlow,Jill Kathleen Whitlow
Darrel Heath, Not Found
Darrow Igus, Not Found
Eric Poppick, Not Found
Lynda Gurasich, Not Found
Basil Keys,Basil Henry Keys
Lowell S. Hawley, Not Found
Johann David Wyss, Not Found
James MacArthur,James Gordon MacArthur
Janet Munro,Janet Neilson Horsburgh
Tommy Kirk,Thomas Harvey Kirk
Kevin Corcoran,Kevin Anthony Corcoran
Andy Ho,Andrew Chin Guan Ho
Milton Reid,Milton Rutherford Reid
Larry Taylor, Not Found
Harry Waxman, Not Found
Enzo Cerusico, Not Found
Willis Bouchey,Willis Ben Bouchey
Kelli Maroney,Kelli Joan Maroney
Garrett Morris,Garrett Gonzalez Morris
Tokuzô Tanaka, Not Found
Seizaburô Kawazu, Not Found
Marjorie Rambeau, Not Found
William Tracy, Not Found
Elizabeth Patterson,Mary Elizabeth Patterson
Jack Kirkland,John Morfit Kirkland
Alan Curtis,Harry David Bertram Ueberroth
Florinda Bolkan,Florinda Soares Bulcão
Lucile Watson,Rosine Mary Lucile Watson
Michael Pollan, Not Found
Phyllis Kirk,Phyllis Kirkegaard
Glen Powell, Not Found
Rachele Brooke Smith, Not Found
Dewey Martin, Not Found
Richard Eyer,Richard Ross Eyer
Joseph Hayes,Joseph Arnold Hayes
Steve Dash,Steve Daskewisz
Stephen Martines,Stephen Scott Martines
Jamie Campbell Bower,James Metcalfe Campbell Bower
Rino Thunder,Manuel Seferno Candalaria
Kay Thompson,Catherine Louise Fink
George Lloyd,George Harrington Lloyd
Wade Crosby, Not Found
Dorothy Lamour,Mary Leta Dorothy Slaton
Timothy Scott,Timothy Christopher Scott
Gary Daigler, Not Found
Shelley Fabares,Michele Marie Fabares
Nita Talbot,Anita Sokol
Jennifer Holden, Not Found
Lola Albright,Lola Jean Albright
Jason William Day, Not Found
Rudy Vallee,Hubert Prior Vallée
Victor French,Victor Edwin French
Barbara Werle,Barbara May Theresa Werle
Gale Gordon,Charles Thomas Aldrich Jr.
Buddy Baer,Jacob Henry Baer
Charles Winninger, Not Found
Helen Walker, Not Found
Ricardo Cortez,Jacob Krantz
Virginia Field,Margaret Cynthia St John Field
Kaaren Verne,Ingeborg Greta Katerina Marie-Rose Klinckerfuss
William Post Jr., Not Found
Hoi Mang, Not Found
Sasha Barrese,Sasha Feline Barrese
Ken Jeong,Kendrick Kang-Joh Jeong
John McGuire, Not Found
Eve Miller,Eve Turner
Tom Fadden, Not Found
Tôru Abe, Not Found
Michael Viglietta, Not Found
Yao Lin Chen, Not Found
David Lai, Not Found
Ingrid Pitt,Ingoushka Petrov
Wanda Hendrix,Dixie Wanda Hendrix
Roy Castle, Not Found
Joan Young,Joan Cecilia Frances Wragge
William Zappa, Not Found
Bruce Wright, Not Found
Albert Sharpe, Not Found
Irene Tsu,Irene Wei Ho Tsu
Michael D. Moore,Michael Sheffield
Lizabeth Scott,Emma Matzo
Ralph Dumke,Ralph Ernest Dumke
Arch Johnson,Archibald Winchester Johnson
John Hudson,John C. Hudson
Liliane Montevecchi,Liliane Dina Montevecchi
Vic Morrow,Victor Morozoff
Ford Rainey, Not Found
Steve Evets,Steven Murphy
Roland Winters,Roland Winternitz
Robert Emhardt,Robert Christian Emhardt
Liam Redmond, Not Found
Liam James, Not Found
David Dastmalchian, Not Found
Simon Barrett, Not Found
Aldis Hodge,Aldis Alexander Basil Hodge
Pavel Nový, Not Found
Cara Williams,Bernice Kamiat
Richard Murphy, Not Found
Fulton Oursler,Charles Fulton Oursler
Roger Livesey, Not Found
Shirley Anne Field,Shirley Anne Broomfield
Thora Hird, Not Found
Michael Granger, Not Found
Joseph Mell,Joseph Mellovitz
Irving Lerner, Not Found
Nicole Abisinio, Not Found
Kenji Utsumi, Not Found
Jim Parrack, Not Found
William Bassett,William Henry Bassett
Beverly Garland, Beverly Lucy Fessenden
Lynn Baggett,Ruth Baggett
Henry Hart,Henry Clay Hart Jr.
Laurette Luez,Loretta Mary Luiz
Jess Kirkpatrick,Jesse Bertram Kirkpatrick
Cay Forester,Mila Patricia Crosby
Frank Gerstle,Francis M. Gerstle
Clarence Brown,Clarence Leon Brown
Howard Storm, Not Found
Eben Young, Not Found
Brandon Call,Brandon Spencer Lee Call
Greg Mooradian, Not Found
Sabine Bethmann, Not Found
David Berón, Not Found
Taylor Lautner,Taylor Daniel Lautner
Jackson Rathbone,Monroe Jackson Rathbone V
Bronson Pelletier, Not Found
Alex Meraz,Alejandro Meraz
Kiowa Gordon,Kiowa Joseph Gordon
Chaske Spencer, Not Found
Bill Bannerman, Not Found
Charlie Bewley, Not Found
Daniel Cudmore, Not Found
Anna Kendrick,Anna Cooke Kendrick
Christian Serratos,Christian Marie Bernardi
Gil Birmingham, Not Found
Noot Seear,Renata Seear
Justine Wachsberger,Justine Olympia Wachsberger
Mike Mazurki,Michail Mazuruski
Ian Keith,Keith Macaulay Ross
William Lindsay Gresham, Not Found
Sally Forrest,Katherine Sally Feeney
Marshall Thompson,James Marshall Thompson
Wally Maher,Walter Maher
Leonard Spigelgass, Not Found
Edna Sherry, Not Found
Lenore J. Coffee, Not Found
Robert Smith, Not Found
Joaquín Martínez, Not Found
Emily VanCamp,Emily Irene VanCamp
Edward Hibbert, Not Found
Arnoldo Foà, Not Found
Ivo Garrani, Not Found
Russell Thorndike,Arthur Russell Thorndike
Barbara S. Harper, Not Found
Yvonne Romain,Yvonne Warren
Giorgio Mariuzzo, Not Found
Giovanni De Nava, Not Found
Giampaolo Saccarola, Not Found
Ed Peck, Not Found
Gene Blakely, Not Found
Stack Pierce,Robert Stack Pierce
Dee Carroll,Betty Jean Marsh
Annette Andre,Annette Christine Andreallo
Patrick O'Brien Demsey, Not Found
Jason Blum,Jason Ferus Blum
Michael Robbins,Michael Anthony Robbins
Don Ferrarone, Not Found
John Byner,John Thomas Biener
Esma Cannon,Esma Ellen Charlotte Cannon
Jim Gaffigan,James Christopher Gaffigan
Éric Toledano, Not Found
Olivier Nakache, Not Found
Joséphine de Meaux, Not Found
Patsy Rowlands,Patricia Amy Rowlands
Ellen Drew,Esther Loretta Ray
David Kaye,David V. Hope
Elie Docter,Elizabeth Docter
Jeremy Leary, Not Found
Mickie McGowan,Maryanne Tonia McGowan
Donald Fullilove,Donald Ray Fullilove
Jess Harnell, Not Found
Josh Cooley, Not Found
Víctor Sierra, Not Found
Freddie Mercury,Farrokh Bomi Bulsara
Roger Taylor,Roger Meddows Taylor
John Deacon,John Richard Deacon
Jeff Moldovan, Not Found
John Lafayette, Not Found
Mary Jackson, Not Found
Susan Peters,Suzanne Carnahan
Joe Downing, Not Found
Joe King,Joseph Sayers King
Lewis Seiler, Not Found
Abem Finkel, Not Found
Daniel Fuchs, Not Found
Brent Huff, Not Found
Linda Ridgeway, Not Found
James Davidson, Not Found
Lindsay Crosby,Lindsay Harry Crosby
Steve Cory,Steven Norman Cory
Tak Kubota, Not Found
Lewis John Carlino, Not Found
Norman Matlock, Not Found
Mike Muscat, Not Found
Diego Fuentes, Not Found
Gonzalo Menendez, Not Found
Nick Gomez, Not Found
Kathryn Walker, Not Found
Barry Ratcliffe, Not Found
Greg Pitts, Not Found
Jacques Besnard, Not Found
Dusan Dukic, Not Found
Hoyt Yeatman,Hoyt Horatio Yeatman Jr.
Antonio Fargas,Antonio Juan Fargas
Alan Polonsky, Not Found
Sean Mathias, Not Found
Bryan Hanna, Not Found
Kenny Ascher, Not Found
Roger Kellaway, Not Found
Leon Russell,Claude Russell Bridges
Oliver Clark,Richard Mardirosian
Venetta Fields, Not Found
Clydie King,Clydie Mae King
Marta Heflin, Not Found
Rita Coolidge,Rita Faye Coolidge
Tony Orlando,Michael Anthony Orlando Cassavitis
Benjamin Whitrow,Benjamin John Whitrow
Nicholas Sidi, Not Found
James Bell,James Harlee Bell
Bernard Gordon, Not Found
Crane Wilbur,Erwin Crane Wilber
Myk Watford, Not Found
Paco de Lucía,Francisco Sánchez Gómez
Mike Molloy, Not Found
Joe Tornatore,Joseph Anthony Tornatore
Ib Schønberg,Ib Christian Albert von Cotta Schønberg
Phyllis Thaxter,Phyllis Schuyler Thaxter
Stephen Blackehart,Stephen T. Blackehart
Joe Fria,Joseph Richard Brotherhood Fria
Noah Blough, Not Found
Brontis Jodorowsky, Not Found
José Legarreta, Not Found
Ron Canada, Not Found
Ellen Albertini Dow,Ellen Rose Albertini
Paul Rust, Not Found
Robert Lawson, Not Found
Toshio Furukawa, Not Found
Tomiko Suzuki, Not Found
Barbara Goodson,Barbara Dale Goodson
Michiyo Aratama,Kyoko Toda
Yôko Naitô, Not Found
Kihachi Okamoto,Kihachiro Okamoto
Maurizio Merli, Not Found
Felix Aylmer,Felix Edward Aylmer Jones
Maureen Swanson, Not Found
Jan Lustig,Hans G. Lustig
Nick Tate,Nicholas John Tate
Rita Johnson,Rita McSean
